WritePrivateProfileSectionW,Kernel32.dll,98
GetClipCursor,User32.dll,149
SystemParametersInfoA,User32.dll,153
GetCommState,Kernel32.dll,156
TranslateMessage,User32.dll,157
GetUserDefaultLangID,Kernel32.dll,160
GetSystemInfo,Kernel32.dll,161
lstrcpyA,Kernel32.dll,162
GetVolumeInformationW,KernelBase.dll,166
WaitForDebugEvent,KernelBase.dll,168
SetFilePointer,KernelBase.dll,169
SetConsoleCP,Kernel32.dll,170
SetClipboardData,User32.dll,171
CallWindowProcA,User32.dll,174
LocalFileTimeToFileTime,Kernel32.dll,175
GetIconInfo,User32.dll,178
DialogBoxParamA,User32.dll,179
GetUserDefaultLCID,Kernel32.dll,180
LoadCursorFromFileW,User32.dll,181
WSALookupServiceNextW,WS2_32.dll,98
DefDlgProcA,User32.dll,182
socket,WSock32.dll,183
EnumChildWindows,User32.dll,184
CreateDirectoryExW,Kernel32.dll,186
CoUnmarshalInterface,Ole32.dll,188
CopyFileExW,KernelBase.dll,138
SetProcessShutdownParameters,KernelBase.dll,189
ChangeDisplaySettingsA,User32.dll,190
WSALookupServiceBeginW,WS2_32.dll,98
WSALookupServiceNextA,WS2_32.dll,192
CoMarshalInterface,Ole32.dll,194
IsDBCSLeadByte,KernelBase.dll,196
__WSAFDIsSet,WS2_32.dll,198
SetCommBreak,Kernel32.dll,199
SleepEx,Kernel32.dll,200
SendMessageA,User32.dll,201
GetTimeFormatW,Kernel32.dll,202
lstrlenW,KernelBase.dll,124
GetMailslotInfo,Kernel32.dll,203
GlobalMemoryStatus,Kernel32.dll,204
EmptyClipboard,User32.dll,205
CharUpperW,KernelBase.dll,206
GetPrivateProfileIntW,Kernel32.dll,208
CoCreateFreeThreadedMarshaler,Ole32.dll,209
CopyFileExA,Kernel32.dll,138
GetCurrentDirectoryW,KernelBase.dll,210
GetACP,Kernel32.dll,212
GetThreadDesktop,User32.dll,214
OpenWaitableTimerW,KernelBase.dll,216
ReleaseSemaphore,KernelBase.dll,217
CallWindowProcW,User32.dll,218
GetProcessWorkingSetSize,Kernel32.dll,219
EnumDateFormatsW,KernelBase.dll,220
ContinueDebugEvent,KernelBase.dll,127
IsCharAlphaNumericA,KernelBase.dll,222
SizeofResource,KernelBase.dll,223
SetWindowWord,User32.dll,225
TerminateProcess,KernelBase.dll,226
EnumDesktopsW,User32.dll,227
SetWindowsHookA,User32.dll,228
CreateFileMappingW,Kernel32.dll,13
FreeEnvironmentStringsW,KernelBase.dll,229
TransactNamedPipe,Kernel32.dll,230
WaitForSingleObject,Kernel32.dll,231
ToUnicode,User32.dll,232
GlobalHandle,Kernel32.dll,233
DuplicateHandle,Kernel32.dll,234
CoResumeClassObjects,Ole32.dll,235
GetTimeZoneInformation,Kernel32.dll,236
GetFileAttributesA,Kernel32.dll,237
SendNotifyMessageW,User32.dll,238
CharLowerBuffW,KernelBase.dll,239
LoadIconA,User32.dll,240
inet_ntoa,WSock32.dll,241
GetCommState,KernelBase.dll,156
CharNextA,User32.dll,242
CoSetProxyBlanket,Ole32.dll,244
ioctlsocket,WS2_32.dll,245
LoadStringW,User32.dll,246
GetSystemTimeAsFileTime,Kernel32.dll,248
GetPriorityClass,Kernel32.dll,249
GetDiskFreeSpaceW,Kernel32.dll,250
GetFileSize,Kernel32.dll,252
GetClassNameA,User32.dll,255
TerminateProcess,Kernel32.dll,226
SetFilePointer,Kernel32.dll,169
WSAIoctl,WS2_32.dll,258
_lcreat,Kernel32.dll,259
GetSystemTimeAdjustment,KernelBase.dll,260
OleSaveToStream,Ole32.dll,261
GetDiskFreeSpaceExW,Kernel32.dll,262
SetConsoleCursorPosition,KernelBase.dll,263
FindFirstFileExA,Kernel32.dll,264
WriteClassStm,Ole32.dll,266
GetCurrentProcessId,Kernel32.dll,267
MkParseDisplayName,Ole32.dll,268
PeekConsoleInputA,Kernel32.dll,125
RemoveDirectoryW,Kernel32.dll,271
DefineDosDeviceA,Kernel32.dll,272
IsCharAlphaNumericW,User32.dll,273
CompareStringW,Kernel32.dll,274
sendto,WS2_32.dll,275
DosDateTimeToFileTime,Kernel32.dll,276
ToUnicodeEx,User32.dll,277
GetCPInfo,KernelBase.dll,279
GetDriveTypeW,Kernel32.dll,145
GetClassNameW,User32.dll,255
SetWindowTextW,User32.dll,82
CharPrevW,KernelBase.dll,280
SetLocalTime,Kernel32.dll,281
PropVariantClear,Iprop.dll,282
DefMDIChildProcA,User32.dll,283
GetHGlobalFromILockBytes,Ole32.dll,284
GetSystemDefaultLangID,KernelBase.dll,285
SetCurrentDirectoryA,Kernel32.dll,286
WaitNamedPipeA,Kernel32.dll,287
ClientToScreen,User32.dll,288
SetWindowContextHelpId,User32.dll,289
SetCapture,User32.dll,290
CreateMailslotW,Kernel32.dll,291
CharPrevW,User32.dll,280
GetCurrentThreadId,KernelBase.dll,293
EnableWindow,User32.dll,294
GetLastActivePopup,User32.dll,296
LoadStringA,User32.dll,246
CloseWindowStation,User32.dll,297
_hwrite,Kernel32.dll,298
GetTimeFormatA,Kernel32.dll,202
SetCommBreak,KernelBase.dll,199
GetCurrentDirectoryW,Kernel32.dll,210
SetProcessPriorityBoost,Kernel32.dll,299
SystemParametersInfoW,User32.dll,153
OpenFileMappingW,Kernel32.dll,300
CoGetCallContext,Ole32.dll,301
ArrangeIconicWindows,User32.dll,302
CoTaskMemAlloc,Ole32.dll,303
ReleaseMutex,KernelBase.dll,304
GetComputerNameW,Kernel32.dll,305
EraseTape,Kernel32.dll,306
EnumDesktopWindows,User32.dll,307
OleFlushClipboard,Ole32.dll,308
GetPrivateProfileSectionA,Kernel32.dll,309
GetProcessVersion,KernelBase.dll,310
FlushViewOfFile,KernelBase.dll,311
AppendMenuW,User32.dll,312
GetTopWindow,User32.dll,313
lstrcmpW,Kernel32.dll,314
SetProcessWorkingSetSize,Kernel32.dll,316
OleDraw,Ole32.dll,317
GetLogicalDriveStringsW,KernelBase.dll,318
GetEnvironmentVariableA,KernelBase.dll,319
GetDriveTypeA,Kernel32.dll,145
WriteFileEx,Kernel32.dll,128
IsValidLocale,Kernel32.dll,100
DragObject,User32.dll,320
WritePrivateProfileStringA,Kernel32.dll,321
GlobalFree,Kernel32.dll,323
CreateNamedPipeW,KernelBase.dll,324
GetNumberOfConsoleInputEvents,Kernel32.dll,325
MapWindowPoints,User32.dll,326
LockFile,KernelBase.dll,327
CreateFiber,Kernel32.dll,328
SetEvent,Kernel32.dll,329
GetThreadPriority,KernelBase.dll,330
CoUninitialize,Ole32.dll,331
GetTempFileNameA,Kernel32.dll,332
GetFileAttributesExW,Kernel32.dll,333
CompareStringW,KernelBase.dll,274
SetUnhandledExceptionFilter,Kernel32.dll,334
OpenDesktopA,User32.dll,335
CreateDirectoryW,KernelBase.dll,336
SetClassLongW,User32.dll,337
CharLowerW,User32.dll,109
CreateProcessW,Kernel32.dll,15
SetConsoleTextAttribute,Kernel32.dll,338
CancelIo,Kernel32.dll,340
FreeConsole,KernelBase.dll,341
Sleep,Kernel32.dll,342
DestroyWindow,User32.dll,343
GetMessageW,User32.dll,345
LoadLibraryExW,KernelBase.dll,346
CreateAcceleratorTableW,User32.dll,349
WindowFromPoint,User32.dll,350
SetProcessAffinityMask,Kernel32.dll,351
CoMarshalHresult,Ole32.dll,353
GetFileAttributesExA,KernelBase.dll,237
GetScrollInfo,User32.dll,354
CreateFileA,KernelBase.dll,12
EnumResourceTypesA,Kernel32.dll,355
GetDateFormatW,KernelBase.dll,356
SwitchToThread,Kernel32.dll,357
ReadConsoleInputW,Kernel32.dll,358
LoadStringA,KernelBase.dll,246
SetThreadPriorityBoost,KernelBase.dll,359
GetProfileSectionW,Kernel32.dll,360
IsCharAlphaNumericA,User32.dll,222
SetWindowLongW,User32.dll,82
OpenFileMappingA,Kernel32.dll,300
CoInitializeSecurity,Ole32.dll,361
IsCharAlphaA,User32.dll,222
GetConsoleMode,KernelBase.dll,362
UpdateResourceA,Kernel32.dll,363
FoldStringW,Kernel32.dll,364
WriteConsoleW,Kernel32.dll,98
DestroyAcceleratorTable,User32.dll,369
SetFileAttributesW,Kernel32.dll,370
CancelWaitableTimer,KernelBase.dll,371
PostThreadMessageW,User32.dll,372
GetCurrencyFormatW,KernelBase.dll,373
EnumSystemCodePagesW,KernelBase.dll,374
LoadModule,Kernel32.dll,375
ExpandEnvironmentStringsA,Kernel32.dll,376
SetEnvironmentVariableW,Kernel32.dll,377
getservbyname,WS2_32.dll,378
SetConsoleScreenBufferSize,KernelBase.dll,379
GetNamedPipeHandleStateW,Kernel32.dll,380
GetPriorityClass,KernelBase.dll,249
LockWindowUpdate,User32.dll,384
setsockopt,WS2_32.dll,386
FreeResource,KernelBase.dll,387
DefWindowProcA,User32.dll,388
LoadAcceleratorsA,User32.dll,389
BroadcastSystemMessageW,User32.dll,391
OpenWindowStationW,User32.dll,216
GetWindowWord,User32.dll,392
RegisterClipboardFormatW,User32.dll,394
MessageBoxExW,User32.dll,395
lstrcpynA,KernelBase.dll,398
CoRevokeClassObject,Ole32.dll,399
inet_ntoa,WS2_32.dll,241
ConvertThreadToFiber,Kernel32.dll,400
RegisterClassExW,User32.dll,401
gethostbyaddr,WS2_32.dll,403
CreateThread,Kernel32.dll,404
CharNextA,KernelBase.dll,242
DisableThreadLibraryCalls,Kernel32.dll,407
ReadConsoleInputW,KernelBase.dll,358
GetCurrencyFormatA,Kernel32.dll,373
CoGetMarshalSizeMax,Ole32.dll,408
GetClassInfoExW,User32.dll,409
getprotobyname,WS2_32.dll,414
EnumPropsA,User32.dll,417
GetCommandLineA,KernelBase.dll,418
CallNamedPipeW,Kernel32.dll,419
FileTimeToSystemTime,KernelBase.dll,420
IsWindowEnabled,User32.dll,423
GetProfileIntA,Kernel32.dll,424
WritePrivateProfileStructW,Kernel32.dll,98
GetKBCodePage,User32.dll,427
GetDateFormatA,KernelBase.dll,356
GetEnvironmentVariableW,Kernel32.dll,319
CoCreateGuid,Ole32.dll,429
MapVirtualKeyExW,User32.dll,430
FreeConsole,Kernel32.dll,341
GetVolumeInformationA,Kernel32.dll,166
MessageBoxExA,User32.dll,395
GetKeyboardState,User32.dll,432
GetMenuDefaultItem,User32.dll,433
EnumTimeFormatsA,Kernel32.dll,135
SetThreadAffinityMask,Kernel32.dll,435
SetActiveWindow,User32.dll,436
GetPrivateProfileSectionW,Kernel32.dll,309
GetCaretPos,User32.dll,438
recvfrom,WS2_32.dll,439
ShowScrollBar,User32.dll,441
RegisterClipboardFormatA,User32.dll,394
CreateIoCompletionPort,KernelBase.dll,442
EnumCalendarInfoW,Kernel32.dll,443
GetDiskFreeSpaceA,Kernel32.dll,250
IsCharAlphaW,User32.dll,444
ActivateKeyboardLayout,User32.dll,445
FreeEnvironmentStringsA,KernelBase.dll,229
